"h_zone","loc_x","loc_y","type","team","venue","position"
"d",83,20,"shot","cgy","home","l"
"d",-82,-6,"blocked_shot","cgy","away","r"
"o",64,1,"blocked_shot","nyi","home","r"
"d",-41,22,"shot","ari","away","r"
"o",85,5,"goal","nyr","home","r"
"o",-46,4,"blocked_shot","cgy","home","d"
"d",-40,-28,"shot","dal","away","d"
"o",-37,-16,"missed_shot","edm","home","d"
"d",61,7,"blocked_shot","wsh","away","d"
"d",-75,,"shot","phi","away","c"
"o",43,-13,"shot","ott","home","d"
"d",78,-3,"missed_shot","phi","away","r"
"o",-43,-21,"blocked_shot","van","home","d"
"d",-42,-9,"blocked_shot","car","home","d"
"d",66,12,"missed_shot","njd","away","c"
"d",-64,26,"blocked_shot","buf","away","r"
"o",-55,25,"blocked_shot","car","away","d"
"d",-42,-27,"shot","car","away","l"
"d",73,6,"blocked_shot","nyr","away","d"
"o",32,23,"missed_shot","phi","home","d"
"o",75,33,"shot","nsh","home","d"
"d",-34,20,"blocked_shot","lak","away","d"
"o",-78,19,"shot","van","home","c"
"o",34,-26,"missed_shot","cgy","away","d"
"o",-78,-5,"missed_shot","nyr","home","d"
"o",54,6,"blocked_shot","edm","away","d"
"o",86,-5,"missed_shot","phi","home","l"
"o",-80,-17,"shot","tbl","home","c"
"d",-61,-24,"shot","ana","away","r"
"d",64,19,"shot","tbl","away","r"
"d",-71,-4,"blocked_shot","tbl","home","l"
"d",85,12,"blocked_shot","lak","away","c"
"o",72,14,"shot","van","away","r"
"o",46,10,"shot","chi","home","d"
"d",60,-13,"goal","njd","away","l"
"d",73,-6,"goal","wsh","away","r"
"o",64,5,"blocked_shot","nyi","home","d"
"d",-35,22,"shot","stl","away","d"
"d",-66,4,"missed_shot","cbj","away","c"
"o",80,,"shot","wpg","home","r"
"o",78,-3,"shot","njd","home","c"
"o",57,9,"shot","cbj","home","d"
"o",76,3,"goal","bos","home","r"
"d",-45,-8,"shot","min","home","l"
"o",80,-26,"missed_shot","njd","home","r"
"o",81,4,"shot","mtl","home","r"
"o",52,29,"shot","ana","home","c"
"n",-21,-9,"shot","bos","home","l"
"d",-55,-25,"shot","dal","home","l"
"d",-79,5,"blocked_shot","car","away","l"
"n",-13,-19,"shot","stl","away","d"
"d",-76,3,"goal","car","home","l"
"d",-48,-6,"blocked_shot","njd","away","d"
"o",-37,27,"shot","van","home","d"
"d",-75,-2,"missed_shot","wsh","away","r"
"d",37,29,"shot","wpg","away","r"
"d",69,5,"shot","phi","away","r"
"d",84,16,"shot","ari","home","l"
"o",-38,33,"shot","wpg","away","d"
"o",-46,9,"blocked_shot","sjs","away","r"
"o",-83,16,"shot","col","home","d"
"d",-57,13,"blocked_shot","wpg","away","d"
"d",-64,-14,"shot","min","away","c"
"d",51,29,"shot","stl","home","d"
"d",48,29,"blocked_shot","sjs","away","d"
"d",-63,-20,"missed_shot","ari","away","c"
"o",39,1,"shot","nsh","home","d"
"d",-80,-7,"shot","fla","home","c"
"o",-49,-24,"shot","phi","home","d"
"o",-79,-3,"missed_shot","van","away","c"
"o",64,-1,"blocked_shot","wpg","away","l"
"o",80,4,"missed_shot","dal","home","c"
"o",48,-23,"blocked_shot","buf","home","c"
"d",53,7,"shot","wsh","away","c"
"d",-61,23,"shot","tor","home","d"
"o",71,-17,"missed_shot","cbj","home","r"
"o",-68,-3,"blocked_shot","bos","home","c"
"d",-61,29,"shot","ana","away","r"
"d",-58,-16,"shot","cgy","home","r"
"d",77,-3,"missed_shot","ana","home","r"
"d",-83,9,"goal","fla","home","c"
"d",-43,27,"shot","tbl","home","r"
"d",-49,,"shot","lak","away","c"
"d",34,21,"missed_shot","sjs","away","c"
"d",68,-35,"shot","nyr","away","c"
"o",-81,10,"shot","ana","home","l"
"d",72,-25,"shot","wpg","home","d"
"o",39,32,"shot","van","home","d"
"d",-79,-28,"shot","col","away","r"
"d",-78,29,"missed_shot","nsh","away","d"
"d",-70,2,"missed_shot","nyr","away","r"
"o",33,-22,"missed_shot","ari","home","d"
"o",-63,2,"goal","ott","home","d"
"o",-86,28,"shot","cgy","home","r"
"d",79,-8,"blocked_shot","stl","away","r"
"o",79,-5,"shot","nyr","away","l"
"d",-85,10,"shot","nyi","away","c"
"d",-76,-4,"shot","ari","away","r"
"o",44,-4,"shot","sjs","home","l"
"d",-38,-31,"shot","nyr","away","l"
"d",47,10,"shot","det","home","c"
"o",66,-7,"missed_shot","stl","home","l"
"d",-79,-7,"blocked_shot","tbl","away","d"
"d",-39,-22,"blocked_shot","njd","away","d"
"d",-69,-8,"shot","fla","home","d"
"d",-73,,"missed_shot","min","away","r"
"d",-84,15,"shot","nsh","away","c"
"o",-53,34,"shot","ari","home","d"
"d",-84,8,"goal","wsh","home","r"
"d",78,13,"missed_shot","njd","away","l"
"d",-41,-27,"shot","bos","away","d"
"o",-48,-18,"blocked_shot","pit","home","d"
"d",-51,34,"shot","cgy","away","d"
"o",52,2,"shot","buf","away","r"
"o",-59,-5,"missed_shot","van","home","c"
"d",-31,-29,"missed_shot","car","away","d"
"o",74,5,"shot","ari","home","c"
"d",-76,-6,"blocked_shot","chi","away","c"
"o",-58,-16,"blocked_shot","nsh","home","l"
"o",68,-12,"shot","cgy","home","d"
"d",79,3,"blocked_shot","phi","away","r"
"o",79,1,"blocked_shot","van","home","d"
"o",46,29,"shot","chi","home","r"
"o",75,16,"blocked_shot","cgy","away","l"
"d",-46,5,"blocked_shot","mtl","away","d"
"o",-67,8,"shot","dal","home","l"
"d",-41,1,"shot","wpg","home","c"
"o",56,6,"blocked_shot","wpg","away","d"
"d",-74,-1,"blocked_shot","dal","home","d"
"d",32,4,"shot","phi","home","r"
"d",77,-6,"blocked_shot","mtl","away","l"
"o",69,-13,"blocked_shot","lak","home","d"
"d",-66,-6,"missed_shot","fla","home","c"
"d",63,-15,"missed_shot","fla","home","r"
