"datetime","a_team","h_team","a_final","h_final"
"2016-10-12 23:00:00+00","tor","ott",4,5
"2016-10-13 00:00:00+00","stl","chi",5,2
"2016-10-13 02:00:00+00","cgy","edm",4,7
"2016-10-13 02:30:00+00","lak","sjs",1,2
"2016-10-13 23:00:00+00","mtl","buf",4,1
"2016-10-13 23:00:00+00","nyi","nyr",3,5
"2016-10-14 00:00:00+00","wsh","pit",2,3
"2016-10-13 23:00:00+00","bos","cbj",6,3
"2016-10-13 23:30:00+00","det","tbl",4,6
"2016-10-13 23:30:00+00","njd","fla",1,2
"2016-10-14 00:00:00+00","min","stl",2,3
"2016-10-14 00:00:00+00","car","wpg",4,5
"2016-10-14 00:30:00+00","ana","dal",2,4
"2016-10-15 00:00:00+00","chi","nsh",2,3
"2016-10-15 01:00:00+00","edm","cgy",5,3
"2016-10-15 02:30:00+00","phi","lak",4,2
"2016-10-15 23:00:00+00","bos","tor",1,4
"2016-10-15 23:00:00+00","mtl","ott",3,4
"2016-10-15 23:00:00+00","njd","tbl",2,3
"2016-10-15 23:00:00+00","det","fla",1,4
"2016-10-15 23:00:00+00","ana","pit",2,3
"2016-10-15 23:00:00+00","nyi","wsh",1,2
"2016-10-15 23:00:00+00","sjs","cbj",3,2
"2016-10-15 23:00:00+00","wpg","min",3,4
"2016-10-16 00:00:00+00","nyr","stl",2,3
"2016-10-16 00:30:00+00","nsh","chi",3,5
"2016-10-16 01:00:00+00","dal","col",5,6
"2016-10-16 01:00:00+00","phi","ari",3,4
"2016-10-16 02:00:00+00","cgy","van",1,2
"2016-10-16 22:00:00+00","ana","nyi",2,3
"2016-10-16 23:00:00+00","buf","edm",6,2
"2016-10-17 02:00:00+00","car","van",3,4
"2016-10-17 23:00:00+00","sjs","nyr",4,7
"2016-10-17 23:00:00+00","col","pit",4,3
"2016-10-17 23:30:00+00","ott","det",1,5
"2016-10-18 00:00:00+00","bos","wpg",4,1
"2016-10-18 23:00:00+00","ana","njd",1,2
"2016-10-18 23:00:00+00","sjs","nyi",3,2
"2016-10-18 23:00:00+00","col","wsh",0,3
"2016-10-18 23:30:00+00","pit","mtl",0,4
"2016-10-18 23:30:00+00","ari","ott",4,7
"2016-10-18 23:30:00+00","fla","tbl",3,4
"2016-10-19 00:00:00+00","dal","nsh",2,1
"2016-10-19 00:00:00+00","lak","min",3,6
"2016-10-19 00:30:00+00","phi","chi",4,7
"2016-10-19 01:00:00+00","buf","cgy",3,4
"2016-10-19 01:00:00+00","car","edm",2,3
"2016-10-19 02:00:00+00","stl","van",1,2
"2016-10-20 00:00:00+00","det","nyr",2,1
"2016-10-20 00:00:00+00","tor","wpg",4,5
"2016-10-20 23:00:00+00","njd","bos",1,2
"2016-10-20 23:00:00+00","ana","phi",3,2
"2016-10-20 23:00:00+00","sjs","pit",2,3
"2016-10-20 23:30:00+00","ari","mtl",2,5
"2016-10-20 23:30:00+00","col","tbl",4,0
"2016-10-20 23:30:00+00","wsh","fla",4,2
"2016-10-21 00:00:00+00","tor","min",2,3
"2016-10-21 00:30:00+00","lak","dal",4,3
"2016-10-21 01:00:00+00","car","cgy",4,2
"2016-10-21 01:00:00+00","stl","edm",1,3
"2016-10-21 02:00:00+00","buf","van",1,2
"2016-10-21 23:00:00+00","ari","nyi",2,3
"2016-10-21 23:00:00+00","chi","cbj",2,3
"2016-10-21 23:30:00+00","nsh","det",3,5
"2016-10-22 23:00:00+00","mtl","bos",4,2
"2016-10-22 23:00:00+00","tbl","ott",4,1
"2016-10-22 23:00:00+00","sjs","det",0,3
"2016-10-22 23:00:00+00","col","fla",2,5
"2016-10-22 23:00:00+00","min","njd",1,2
"2016-10-22 23:00:00+00","car","phi",3,6
"2016-10-22 23:00:00+00","nyr","wsh",4,2
"2016-10-22 23:00:00+00","tor","chi",4,5
"2016-10-23 00:00:00+00","pit","nsh",1,5
"2016-10-23 00:00:00+00","cbj","dal",3,0
"2016-10-23 02:00:00+00","stl","cgy",6,4
"2016-10-23 02:00:00+00","van","lak",3,4
"2016-10-23 19:00:00+00","edm","wpg",3,0
