"season","game_id","team","period","strength_sit","timeranges"
2016,20051,"njd",1,"ev5","0-1200"
2016,20051,"njd",2,"ev5","0-246;473-1008;1128-1200"
2016,20051,"njd",2,"pp","1008-1128"
2016,20051,"njd",2,"sh","246-473"
2016,20051,"njd",3,"ev5","0-224;254-302;422-784;904-1133"
2016,20051,"njd",3,"pp","224-254"
2016,20051,"njd",3,"sh","302-422;784-904"
2016,20065,"mtl",1,"ev5","0-102;360-956;1076-1200"
2016,20065,"mtl",1,"pp","342-360;956-1076"
2016,20065,"mtl",1,"sh","102-240"
2016,20065,"mtl",2,"ev5","0-151;271-873;993-1101"
2016,20065,"mtl",2,"pp","151-271;873-993"
2016,20065,"mtl",2,"sh","1101-1200"
2016,20065,"mtl",3,"ev5","21-443;489-767;887-1036"
2016,20065,"mtl",3,"pp","767-887"
2016,20065,"mtl",3,"sh","0-21;443-489"
2016,20083,"min",1,"ev5","0-676;796-1200"
2016,20083,"min",1,"pp","676-796"
2016,20083,"min",2,"ev5","0-68;188-631;636-865;985-1175"
2016,20083,"min",2,"pp","631-636;865-985;1175-1200"
2016,20083,"min",2,"sh","68-188"
2016,20083,"min",3,"ev5","95-534;654-1107"
2016,20083,"min",3,"pp","0-95"
2016,20083,"min",3,"sh","534-654;1107-1200"
2016,20095,"nyr",1,"ev5","0-460;580-609;729-1200"
2016,20095,"nyr",1,"pp","460-580"
2016,20095,"nyr",2,"ev5","0-328;448-488;556-655;775-1078;1164-1200"
2016,20095,"nyr",2,"pp","328-448;488-556;655-775;1078-1164"
2016,20095,"nyr",3,"ev5","0-534;654-908;1030-1200"
2016,20095,"nyr",3,"pp","534-654"
2016,20095,"nyr",3,"sh","910-1030"
2016,20115,"det",1,"ev5","0-43;163-993;1113-1200"
2016,20115,"det",1,"sh","993-1113"
2016,20115,"det",2,"ev5","0-151;327-582;702-843;963-1111"
2016,20115,"det",2,"pp","151-207;582-702"
2016,20115,"det",2,"sh","271-327;843-963;1111-1200"
2016,20115,"det",3,"ev5","31-458;578-821;941-1112"
2016,20115,"det",3,"pp","458-578"
2016,20115,"det",3,"sh","0-31"
2016,20136,"fla",1,"ev5","0-279;399-661;786-913;1033-1200"
2016,20136,"fla",1,"pp","279-399;666-786"
2016,20136,"fla",1,"sh","913-1033"
2016,20136,"fla",2,"ev5","0-335;455-512;632-748;868-894;1014-1200"
2016,20136,"fla",2,"pp","335-455;512-632;894-1014"
2016,20136,"fla",3,"ev5","0-138;258-383;623-1000;1120-1123;1138-1142"
2016,20136,"fla",3,"pp","138-258;1109-1120"
2016,20136,"fla",3,"sh","383-623"
2016,20151,"tbl",1,"ev5","0-437;647-847;909-1200"
2016,20151,"tbl",1,"pp","847-909"
2016,20151,"tbl",1,"sh","437-647"
2016,20151,"tbl",2,"ev5","0-392;510-775;895-952;1072-1200"
2016,20151,"tbl",2,"pp","392-510;952-1072"
2016,20151,"tbl",2,"sh","775-895"
2016,20151,"tbl",3,"ev5","0-1200"
2016,20151,"tbl",4,"pp","28-148"
2016,20151,"tbl",4,"sh","261-300"
2016,20162,"nyr",1,"ev5","0-276;396-990;1110-1200"
2016,20162,"nyr",1,"pp","276-396"
2016,20162,"nyr",1,"sh","990-1110"
2016,20162,"nyr",2,"ev5","0-66;199-409;529-1200"
2016,20162,"nyr",2,"sh","79-199;409-529"
2016,20162,"nyr",3,"ev5","0-676;817-1200"
2016,20162,"nyr",3,"pp","676-817"
2016,20180,"buf",1,"ev5","0-334;454-623;749-1049;1169-1200"
2016,20180,"buf",1,"pp","334-454;1049-1169"
2016,20180,"buf",1,"sh","629-749"
2016,20180,"buf",2,"ev5","0-243;344-470;796-1086"
2016,20180,"buf",2,"pp","1086-1200"
2016,20180,"buf",2,"sh","243-344;470-796"
2016,20180,"buf",3,"ev5","6-227;347-530;585-1200"
2016,20180,"buf",3,"pp","0-6"
2016,20180,"buf",3,"sh","227-347;530-585"
2016,20189,"mtl",1,"ev5","0-702;822-1200"
2016,20189,"mtl",1,"sh","702-822"
2016,20189,"mtl",2,"ev5","0-193;238-316;436-1200"
2016,20189,"mtl",2,"pp","193-238;316-436"
2016,20189,"mtl",3,"ev5","0-279;398-1148"
2016,20189,"mtl",3,"sh","279-398"
2016,20196,"cbj",1,"ev5","0-362;482-919;1039-1200"
2016,20196,"cbj",1,"pp","362-482;919-1039"
2016,20196,"cbj",2,"ev5","0-726;846-1200"
2016,20196,"cbj",2,"sh","726-846"
2016,20196,"cbj",3,"ev5","0-855;975-1090"
2016,20196,"cbj",3,"pp","1090-1200"
2016,20196,"cbj",3,"sh","855-975"
2016,20221,"ari",1,"ev5","0-104;224-1200"
2016,20221,"ari",1,"pp","104-224"
2016,20221,"ari",2,"ev5","0-1200"
2016,20221,"ari",3,"ev5","0-347;467-673;725-1122;1156-1170"
2016,20221,"ari",3,"pp","347-467;673-725"
2016,20227,"col",1,"ev5","0-1200"
2016,20227,"col",2,"ev5","0-1101"
2016,20227,"col",2,"sh","1101-1200"
2016,20227,"col",3,"ev5","21-336;456-654;774-1133;1172-1191"
2016,20227,"col",3,"pp","654-774;1191-1200"
2016,20227,"col",3,"sh","0-21;336-456"
2016,20250,"min",1,"ev5","0-56;176-328;448-696;816-1046;1161-1200"
2016,20250,"min",1,"pp","696-816;1046-1161"
2016,20250,"min",1,"sh","328-448"
2016,20250,"min",2,"ev5","0-188;308-909;1031-1200"
2016,20250,"min",2,"pp","188-308"
2016,20250,"min",2,"sh","911-1031"
2016,20250,"min",3,"ev5","0-1167"
2016,20262,"wpg",1,"ev5","0-373;493-603;810-1200"
2016,20262,"wpg",1,"pp","373-493"
2016,20262,"wpg",1,"sh","603-685;690-810"
2016,20262,"wpg",2,"ev5","0-259;379-903;1099-1200"
2016,20262,"wpg",2,"pp","259-379"
2016,20262,"wpg",2,"sh","903-970;979-1099"
2016,20262,"wpg",3,"ev5","0-299;419-1107"
2016,20262,"wpg",3,"pp","299-419;1107-1200"
2016,20283,"stl",1,"ev5","0-54;184-403;464-633;753-1200"
2016,20283,"stl",1,"pp","633-753"
2016,20283,"stl",1,"sh","64-184;403-464"
2016,20283,"stl",2,"ev5","0-307;427-500;620-1200"
2016,20283,"stl",2,"pp","500-620"
2016,20283,"stl",2,"sh","307-427"
2016,20283,"stl",3,"ev5","0-1092;1124-1152;1172-1200"
2016,20301,"ott",1,"ev5","0-895;1015-1076;1189-1200"
2016,20301,"ott",1,"pp","895-1015"
2016,20301,"ott",1,"sh","1076-1189"
2016,20301,"ott",2,"ev5","0-522;642-1200"
2016,20301,"ott",3,"ev5","0-129;249-1073"
2016,20301,"ott",3,"pp","129-249"
2016,20308,"cgy",1,"ev5","0-558;678-997;1120-1200"
2016,20308,"cgy",1,"pp","558-678"
2016,20308,"cgy",1,"sh","1000-1120"
2016,20308,"cgy",2,"ev5","0-912;1032-1200"
2016,20308,"cgy",2,"sh","912-1032"
2016,20308,"cgy",3,"ev5","0-219;339-476;544-568;688-1128"
2016,20308,"cgy",3,"sh","219-339;476-544;568-688"
2016,20322,"tbl",1,"ev5","0-195;315-618;738-1200"
2016,20322,"tbl",1,"pp","195-315;618-738"
2016,20322,"tbl",2,"ev5","0-704;750-1200"
2016,20322,"tbl",2,"sh","705-750"
2016,20322,"tbl",3,"ev5","0-1200"
2016,20331,"phi",1,"ev5","0-612;732-840;928-1200"
2016,20331,"phi",1,"pp","840-928"
2016,20331,"phi",1,"sh","612-732"
2016,20331,"phi",2,"ev5","0-26;146-663;833-968;1088-1096"
2016,20331,"phi",2,"pp","26-146;783-833;968-1088"
2016,20331,"phi",2,"sh","663-713;1100-1200"
2016,20331,"phi",3,"ev5","20-328;448-792;924-970;1104-1200"
2016,20331,"phi",3,"pp","804-924"
2016,20331,"phi",3,"sh","0-20;984-1104"
2016,20345,"car",1,"ev5","0-787;907-1200"
2016,20345,"car",1,"pp","787-907"
2016,20345,"car",2,"ev5","0-319;457-999;1119-1200"
2016,20345,"car",2,"pp","439-457"
2016,20345,"car",2,"sh","319-393;999-1119"
2016,20345,"car",3,"ev5","0-406;526-1127;1168-1200"
2016,20345,"car",3,"sh","406-526"
2016,20345,"car",4,"sh","113-233"
2016,20359,"buf",1,"ev5","0-252;372-864;984-1200"
2016,20359,"buf",1,"pp","252-372"
2016,20359,"buf",1,"sh","864-984"
2016,20359,"buf",2,"ev5","0-1200"
2016,20359,"buf",3,"ev5","0-197;387-806;931-1117;1144-1164"
2016,20359,"buf",3,"pp","317-387;811-931"
2016,20359,"buf",3,"sh","197-267"
2016,20378,"fla",1,"ev5","0-78;204-235;355-531;651-1200"
2016,20378,"fla",1,"pp","235-355"
2016,20378,"fla",1,"sh","84-204;531-651"
2016,20378,"fla",2,"ev5","0-802;940-1155"
2016,20378,"fla",2,"pp","820-940"
2016,20378,"fla",2,"sh","1155-1200"
2016,20378,"fla",3,"ev5","75-589;709-1107;1111-1200"
2016,20378,"fla",3,"pp","589-709"
2016,20378,"fla",3,"sh","0-75"
2016,20501,"fla",1,"ev5","0-668;802-861;981-1200"
2016,20501,"fla",1,"pp","682-802"
2016,20501,"fla",1,"sh","861-981"
2016,20501,"fla",2,"ev5","0-216;313-329;449-504;643-1200"
2016,20501,"fla",2,"pp","329-449"
2016,20501,"fla",2,"sh","216-313;523-643"
2016,20501,"fla",3,"ev5","0-337;457-1083;1117-1200"
2016,20501,"fla",3,"pp","337-457"
2016,20815,"van",1,"ev5","0-496;616-883;1003-1063;1162-1200"
2016,20815,"van",1,"pp","883-1003"
2016,20815,"van",1,"sh","496-616;1073-1162"
2016,20815,"van",2,"ev5","0-816;936-1200"
2016,20815,"van",2,"pp","816-936"
2016,20815,"van",3,"ev5","0-774;863-1127"
2016,20815,"van",3,"pp","774-863"
2016,20392,"wsh",1,"ev5","0-958;1128-1200"
2016,20392,"wsh",1,"pp","1078-1128"
2016,20392,"wsh",1,"sh","958-1008"
2016,20392,"wsh",2,"ev5","0-402;522-864;984-1200"
2016,20392,"wsh",2,"pp","402-522"
2016,20392,"wsh",2,"sh","864-984"
2016,20392,"wsh",3,"ev5","0-381;499-1200"
2016,20392,"wsh",3,"sh","381-499"
2016,20395,"col",1,"ev5","0-280;400-512;632-703;823-1200"
2016,20395,"col",1,"sh","512-632;703-823"
2016,20395,"col",2,"ev5","0-592;712-882;1023-1200"
2016,20395,"col",2,"pp","592-712;903-1023"
2016,20395,"col",3,"ev5","0-1072;1188-1200"
2016,20413,"tor",1,"ev5","0-459;579-1200"
2016,20413,"tor",1,"sh","459-579"
2016,20413,"tor",2,"ev5","0-1200"
2016,20413,"tor",3,"ev5","0-187;307-466;586-1070;1107-1200"
2016,20413,"tor",3,"pp","187-307;466-586"
2016,20511,"car",1,"ev5","0-1200"
2016,20511,"car",3,"ev5","0-32;155-282;402-1200"
2016,20511,"car",3,"pp","35-155;282-402"
2016,20430,"mtl",1,"ev5","0-416;536-602;722-1163"
2016,20430,"mtl",1,"pp","416-536;602-722"
2016,20430,"mtl",2,"ev5","152-320;440-660;780-1200"
2016,20430,"mtl",2,"pp","32-152;660-780"
2016,20430,"mtl",2,"sh","320-440"
2016,20430,"mtl",3,"ev5","0-425;545-1200"
2016,20430,"mtl",3,"pp","425-545"
2016,20520,"cbj",1,"ev5","0-397;517-868;988-1042;1162-1200"
2016,20520,"cbj",1,"pp","397-517"
2016,20520,"cbj",1,"sh","868-988"
2016,20520,"cbj",2,"ev5","0-935;1055-1200"
2016,20520,"cbj",2,"pp","935-1055"
2016,20520,"cbj",3,"ev5","0-382;505-614;646-959;1079-1093"
2016,20520,"cbj",3,"pp","620-646"
2016,20520,"cbj",3,"sh","385-505;959-1079"
2016,20832,"mtl",1,"ev5","0-572;692-855;998-1200"
2016,20832,"mtl",1,"pp","572-692;855-998"
2016,20832,"mtl",2,"ev5","0-181;332-353;473-800;905-1067"
2016,20832,"mtl",2,"pp","301-332;1067-1185"
2016,20832,"mtl",2,"sh","181-212;353-473;800-905;1186-1200"
2016,20832,"mtl",3,"ev5","105-521;641-756;990-1043;1163-1200"
2016,20832,"mtl",3,"pp","521-641"
2016,20832,"mtl",3,"sh","0-105;756-990;1043-1163"
2016,20442,"pit",1,"ev5","0-229;349-874;1152-1200"
