"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20001,"ott",8467493,1,"501-510;318-347;769-805;556-593;146-191","Chris","Neil","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8467493,2,"205-206;1197-1200;599-608;949-994","Chris","Neil","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8467493,3,"529-560;836-879;255-316","Chris","Neil","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8467967,1,"501-510;318-347;769-805;924-960;146-183;549-593;987-1048","Chris","Kelly","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8467967,2,"1197-1200;259-275;206-224;599-625;1115-1152;949-992;669-716;396-461","Chris","Kelly","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8467967,3,"1074-1097;529-560;836-870;1156-1198;782-828;991-1053;255-328","Chris","Kelly","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8471676,1,"611-626;347-364;481-501;0-32;728-769;858-899;191-242;1048-1148;626-626","Bobby","Ryan","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8471676,2,"391-396;64-85;1032-1072;1152-1197;136-204;816-908","Bobby","Ryan","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8471676,3,"828-836;405-423;670-694;1040-1074;50-85;932-969;160-221;560-625","Bobby","Ryan","r","2016-10-12 23:00:00+00"
2016,20001,"ott",8471768,1,"593-611;805-827;899-924;960-987;284-318;105-146;436-481;626-671","Tom","Pyatt","l","2016-10-12 23:00:00+00"
2016,20001,"ott",8471768,2,"655-669;204-224;33-64;1115-1152;994-1032;275-318;716-771;461-530","Tom","Pyatt","l","2016-10-12 23:00:00+00"
2016,20001,"ott",8471768,3,"925-932;969-991;1172-1198;423-453;85-122;316-353;1074-1114;694-764","Tom","Pyatt","l","2016-10-12 23:00:00+00"
2016,20001,"ott",8473544,1,"611-626;347-364;481-501;0-32;858-899;183-230;722-769;1048-1161","Derick","Brassard","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8473544,2,"64-85;1032-1072;1154-1197;771-816;850-908;127-186;318-391;526-599;1072-1072","Derick","Brassard","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8473544,3,"1198-1200;828-836;405-423;1053-1074;670-694;55-85;932-969;160-221;560-625","Derick","Brassard","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8474068,1,"899-924;827-858;960-994;510-549;1148-1200;230-284;659-722;32-97;364-429","Kyle","Turris","c","2016-10-12 23:00:00+00"
2016,20001,"ott",8474068,2,"1194-1197;391-396;655-669;224-253;0-33;816-850;908-949;85-127;1072-1115;461-526","Kyle","Turris","c","2016-10-12 23:00:00+00"
