"season","game_id","team","period","strength_sit","timeranges"
2016,20001,"ott",1,"ev5","0-899;1019-1081"
2016,20001,"ott",1,"pp","1081-1200"
2016,20001,"ott",1,"sh","899-1019"
2016,20001,"ott",2,"ev5","1-85;205-206;326-396;516-655;775-1200"
2016,20001,"ott",2,"sh","206-326;396-516;655-775"
2016,20001,"ott",3,"ev5","0-122;242-1200"
2016,20001,"ott",3,"pp","122-242"
2016,20017,"bos",1,"ev5","0-173;293-321;441-520;658-946;1055-1200"
2016,20017,"bos",1,"pp","538-658;946-1055"
2016,20017,"bos",1,"sh","173-293;321-441"
2016,20017,"bos",2,"ev5","0-375;495-692;812-1200"
2016,20017,"bos",2,"pp","375-495"
2016,20017,"bos",2,"sh","692-812"
2016,20017,"bos",3,"ev5","0-573;693-756;876-1200"
2016,20017,"bos",3,"pp","573-693"
2016,20017,"bos",3,"sh","756-876"
2016,20050,"wpg",1,"ev5","0-80;221-1200"
2016,20050,"wpg",1,"pp","101-221"
2016,20050,"wpg",2,"ev5","0-289;415-605;725-1200"
2016,20050,"wpg",2,"pp","605-725"
2016,20050,"wpg",2,"sh","289-415"
2016,20050,"wpg",3,"ev5","0-1125;1145-1200"
2016,20057,"min",1,"ev5","0-665;785-970;1090-1200"
2016,20057,"min",1,"pp","970-1090"
2016,20057,"min",1,"sh","665-785"
2016,20057,"min",2,"ev5","0-32;152-821;928-1200"
2016,20057,"min",2,"pp","32-152"
2016,20057,"min",2,"sh","821-928"
2016,20057,"min",3,"ev5","0-543;663-906;1026-1084;1145-1164"
2016,20057,"min",3,"pp","543-663"
2016,20057,"min",3,"sh","906-1026"
2016,20072,"chi",1,"ev5","0-942;1062-1200"
2016,20072,"chi",1,"pp","942-1062"
2016,20072,"chi",2,"ev5","0-280;400-429;568-825;1056-1200"
2016,20072,"chi",2,"pp","280-400;825-1056"
2016,20072,"chi",2,"sh","470-568"
2016,20072,"chi",3,"ev5","0-777;900-1050;1052-1071;1112-1200"
2016,20072,"chi",3,"sh","780-900"
2016,20072,"chi",4,"pp","32-152;260-300"
2016,20087,"tbl",1,"ev5","0-1200"
2016,20087,"tbl",2,"ev5","0-16;136-146;266-1061;1143-1200"
2016,20087,"tbl",2,"pp","146-266"
2016,20087,"tbl",2,"sh","16-136;1061-1143"
2016,20087,"tbl",3,"ev5","0-107;227-672;792-806;956-1169"
2016,20087,"tbl",3,"pp","806-956;1169-1200"
2016,20087,"tbl",3,"sh","107-227;672-792"
2016,20101,"fla",1,"ev5","0-1136"
2016,20101,"fla",2,"ev5","56-105;215-446;566-1200"
2016,20101,"fla",2,"pp","105-215;446-566"
2016,20101,"fla",3,"ev5","0-64;184-760;1000-1135"
2016,20101,"fla",3,"pp","64-184"
2016,20101,"fla",3,"sh","760-1000"
2016,20114,"mtl",1,"ev5","0-440;560-938;1058-1200"
2016,20114,"mtl",1,"sh","440-560;938-1058"
2016,20114,"mtl",2,"ev5","0-126;246-494;614-1157"
2016,20114,"mtl",2,"pp","126-246;1157-1200"
2016,20114,"mtl",3,"ev5","77-243;258-358;478-538;658-1068"
2016,20114,"mtl",3,"pp","0-77;413-444"
2016,20114,"mtl",3,"sh","245-258;538-658"
2016,20126,"nyi",1,"ev5","0-746;868-1200"
2016,20126,"nyi",1,"sh","748-868"
2016,20126,"nyi",2,"ev5","0-123;242-317;437-1059"
2016,20126,"nyi",2,"pp","123-242;1059-1139"
2016,20126,"nyi",2,"sh","317-437;1179-1200"
2016,20126,"nyi",3,"ev5","50-494;614-1200"
2016,20126,"nyi",3,"sh","0-50"
2016,20134,"edm",1,"ev5","0-504;624-1200"
2016,20134,"edm",1,"pp","504-624"
2016,20134,"edm",2,"ev5","0-551;671-978;1116-1200"
2016,20134,"edm",2,"pp","551-671"
2016,20134,"edm",2,"sh","996-1116"
2016,20134,"edm",3,"ev5","0-1200"
2016,20146,"buf",1,"ev5","0-1200"
2016,20146,"buf",2,"ev5","0-699;819-895;1015-1200"
2016,20146,"buf",2,"pp","699-819;895-1015"
2016,20146,"buf",3,"ev5","0-1112"
2016,20163,"van",1,"ev5","0-729;965-1200"
2016,20163,"van",1,"pp","845-965"
2016,20163,"van",2,"ev5","0-708;900-1003;1126-1200"
2016,20163,"van",2,"pp","708-717"
2016,20163,"van",2,"sh","808-900;1006-1126"
2016,20163,"van",3,"ev5","0-402;814-892;1012-1167"
2016,20163,"van",3,"pp","522-687;909-1012"
2016,20163,"van",3,"sh","694-814;1167-1182"
2016,20188,"lak",1,"ev5","0-426;546-1053;1181-1200"
2016,20188,"lak",1,"pp","426-546;1061-1181"
2016,20188,"lak",2,"ev5","0-587;707-891;1020-1200"
2016,20188,"lak",2,"pp","587-707"
2016,20188,"lak",2,"sh","900-1020"
2016,20188,"lak",3,"ev5","0-559;679-1200"
2016,20188,"lak",3,"pp","559-679"
2016,20207,"phi",1,"ev5","0-231;239-650;770-1096"
2016,20207,"phi",1,"pp","231-239"
2016,20207,"phi",1,"sh","650-770;1096-1200"
2016,20207,"phi",2,"ev5","25-116;240-1200"
2016,20207,"phi",2,"sh","0-25;120-240"
2016,20207,"phi",3,"ev5","0-644;764-920;977-1200"
2016,20207,"phi",3,"pp","644-764"
2016,20207,"phi",3,"sh","920-977"
2016,20217,"pit",1,"ev5","0-1165"
2016,20217,"pit",1,"pp","1165-1200"
2016,20217,"pit",2,"ev5","85-141;186-488;608-933;1053-1200"
2016,20217,"pit",2,"pp","0-85;141-186;933-1053"
2016,20217,"pit",2,"sh","488-608"
2016,20217,"pit",3,"ev5","0-1135"
2016,20217,"pit",3,"sh","1135-1200"
2016,20233,"nsh",1,"ev5","0-1200"
2016,20233,"nsh",2,"ev5","0-145;347-1200"
2016,20233,"nsh",2,"pp","286-347"
2016,20233,"nsh",2,"sh","145-227"
2016,20233,"nsh",3,"ev5","0-1200"
2016,20247,"fla",1,"ev5","0-421;541-664;784-1200"
2016,20247,"fla",1,"pp","421-541"
2016,20247,"fla",1,"sh","664-784"
2016,20247,"fla",2,"ev5","0-516;836-1151"
2016,20247,"fla",2,"pp","756-836"
2016,20247,"fla",2,"sh","516-716;1151-1200"
2016,20247,"fla",3,"ev5","71-698;818-898;1018-1200"
2016,20247,"fla",3,"pp","698-818;898-1018"
2016,20247,"fla",3,"sh","0-71"
2016,20264,"mtl",1,"ev5","0-408;413-422;542-618;738-975;1095-1200"
2016,20264,"mtl",1,"pp","422-542;618-738"
2016,20264,"mtl",1,"sh","975-1095"
2016,20264,"mtl",2,"ev5","0-27;32-431;527-592;712-1013;1133-1200"
2016,20264,"mtl",2,"pp","27-32;592-712"
2016,20264,"mtl",2,"sh","431-527;1013-1133"
2016,20264,"mtl",3,"ev5","0-718;838-957;1077-1096"
2016,20264,"mtl",3,"pp","718-838"
2016,20264,"mtl",3,"sh","957-1077"
2016,20284,"car",1,"ev5","0-949;1041-1200"
2016,20284,"car",1,"pp","949-1041"
2016,20284,"car",2,"ev5","0-239;359-813;933-1200"
2016,20284,"car",2,"sh","239-359;813-933"
2016,20284,"car",3,"ev5","0-861;981-1095"
2016,20284,"car",3,"sh","861-981"
2016,20289,"njd",1,"ev5","0-696;811-906;1026-1200"
2016,20289,"njd",1,"sh","696-811;906-1026"
2016,20289,"njd",2,"ev5","0-72;190-362;503-639;839-856;976-1200"
2016,20289,"njd",2,"pp","72-190;719-839;856-976"
2016,20289,"njd",2,"sh","383-503"
2016,20289,"njd",3,"ev5","0-1200"
2016,20338,"edm",1,"ev5","0-196;345-869;989-1052;1172-1200"
2016,20338,"edm",1,"pp","196-225;869-989"
2016,20338,"edm",1,"sh","316-345"
2016,20338,"edm",2,"ev5","0-392;512-791;1057-1200"
2016,20338,"edm",2,"pp","392-512;911-1057"
2016,20338,"edm",2,"sh","791-882"
2016,20338,"edm",3,"ev5","0-84;204-494;614-998;1118-1140"
2016,20338,"edm",3,"pp","84-204"
2016,20338,"edm",3,"sh","494-614;998-1118"
2016,20343,"cgy",1,"ev5","0-817;937-983;1103-1200"
2016,20343,"cgy",1,"pp","817-937"
2016,20343,"cgy",1,"sh","983-1103"
2016,20343,"cgy",2,"ev5","0-803;923-1076;1196-1200"
2016,20343,"cgy",2,"pp","803-923"
2016,20343,"cgy",2,"sh","1076-1196"
2016,20343,"cgy",3,"ev5","0-1200"
2016,20367,"van",1,"ev5","0-452;589-1200"
2016,20367,"van",1,"sh","469-589"
2016,20367,"van",2,"ev5","0-533;656-676;690-945;1065-1200"
2016,20367,"van",2,"pp","537-656"
2016,20367,"van",2,"sh","676-690;945-1065"
2016,20367,"van",3,"ev5","0-433;553-605;725-1200"
2016,20367,"van",3,"pp","433-553"
2016,20367,"van",3,"sh","605-725"
2016,20503,"col",1,"ev5","0-468;658-665;709-792;912-1200"
2016,20503,"col",1,"pp","468-658"
2016,20503,"col",1,"sh","665-709;792-912"
2016,20503,"col",2,"ev5","0-235;355-761;913-1065;1185-1200"
2016,20503,"col",2,"pp","235-355;761-913"
2016,20503,"col",2,"sh","1065-1185"
2016,20503,"col",3,"ev5","0-152;272-721;780-1060;1180-1200"
2016,20503,"col",3,"pp","1060-1180"
2016,20503,"col",3,"sh","152-272;721-780"
2016,20808,"stl",1,"ev5","0-743;863-1200"
2016,20808,"stl",1,"pp","743-863"
2016,20808,"stl",2,"ev5","0-1200"
2016,20808,"stl",3,"ev5","0-477;603-1200"
2016,20808,"stl",3,"sh","483-603"
2016,20527,"fla",1,"ev5","0-127;247-381;503-1200"
2016,20527,"fla",1,"pp","127-247;383-503"
2016,20527,"fla",2,"ev5","0-142;262-325;445-1005;1153-1200"
2016,20527,"fla",2,"pp","325-445;1135-1153"
2016,20527,"fla",2,"sh","1005-1074"
2016,20527,"fla",3,"ev5","0-524;644-1200"
2016,20527,"fla",4,"pp","198-201"
2016,20527,"fla",4,"sh","201-300"
2016,20821,"buf",1,"ev5","0-279;308-929;1049-1200"
2016,20821,"buf",1,"pp","279-308"
2016,20821,"buf",1,"sh","929-1049"
2016,20821,"buf",2,"ev5","0-382;502-912;957-1200"
2016,20821,"buf",2,"sh","382-502;912-957"
2016,20821,"buf",3,"ev5","0-975;1155-1158"
2016,20391,"min",1,"ev5","0-535;655-1200"
2016,20391,"min",1,"pp","535-655"
2016,20391,"min",2,"ev5","0-770;897-1200"
2016,20391,"min",2,"sh","777-897"
2016,20391,"min",3,"ev5","0-766;886-1067"
2016,20391,"min",3,"sh","766-886"
2016,20413,"bos",1,"ev5","0-459;579-1200"
2016,20413,"bos",1,"pp","459-579"
2016,20413,"bos",2,"ev5","0-1200"
2016,20413,"bos",3,"ev5","0-187;307-466;586-1070;1107-1200"
2016,20413,"bos",3,"sh","187-307;466-586"
2016,20425,"col",1,"ev5","0-80;200-971;1131-1200"
2016,20425,"col",1,"pp","1094-1131"
