"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20002,"stl",8470105,3,"1181-1181;582-592;877-900;403-435;634-672;1134-1175;234-277;1016-1077","Scottie","Upshall","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8470105,2,"292-317;469-503;796-837","Scottie","Upshall","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8470105,1,"845-854;658-678;159-180;233-260;1160-1200;379-424;964-1029","Scottie","Upshall","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8470257,3,"592-605;382-403;327-356;805-835;672-703;468-505;193-234;0-55;1077-1134;900-959;74-140","Alexander","Steen","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8470257,2,"154-181;552-583;0-32;883-915;700-744;245-292;364-417;1062-1200","Alexander","Steen","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8470257,1,"1194-1200;260-278;1119-1140;180-211;854-887;424-465;1029-1072;608-654;726-776;0-56","Alexander","Steen","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8470803,3,"582-592;712-726;959-973;877-900;403-435;1134-1181;234-292","Kyle","Brodziak","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8470803,2,"1039-1062;292-317;469-503;786-837","Kyle","Brodziak","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8470803,1,"836-854;241-260;658-678;159-180;1096-1119;1160-1194;372-418;958-1039","Kyle","Brodziak","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8471669,3,"592-605;382-403;900-926;805-835;672-703;468-505;193-234;314-356;74-126;0-55;1077-1134;55-55","Paul","Stastny","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8471669,2,"154-181;0-32;883-915;108-142;380-426;245-292;555-605;710-764;1062-1200","Paul","Stastny","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8471669,1,"260-278;1119-1140;854-883;180-211;1039-1079;418-465;608-658;726-776;0-56","Paul","Stastny","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8471817,3,"582-592;877-900","Ryan","Reaves","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8471817,2,"292-317;469-503;1024-1062;786-837","Ryan","Reaves","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8471817,1,"836-854;159-180;654-678;368-424;958-1029","Ryan","Reaves","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8473534,3,"502-505;356-382;545-582;634-672;234-277;1134-1181;755-805;900-959;1016-1077;126-193","Patrik","Berglund","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8473534,2,"142-154;426-469;837-883;181-245;975-1039;643-710","Patrik","Berglund","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8473534,1,"1096-1119;332-372;915-958;776-836;98-159;514-581","Patrik","Berglund","c","2016-10-13 00:00:00+00"
2016,20002,"chi",8473604,3,"55-74;119-141;0-34;1014-1054;592-634;790-834;202-255;439-493;900-959;1105-1176","Jonathan","Toews","c","2016-10-13 00:00:00+00"
2016,20002,"chi",8473604,2,"1062-1074;891-915;0-32;1168-1200;211-246;142-181;416-468;550-605;643-703","Jonathan","Toews","c","2016-10-13 00:00:00+00"
2016,20002,"chi",8473604,1,"260-278;180-211;564-601;1042-1081;1119-1161;426-469;854-907;0-55;722-778","Jonathan","Toews","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8474102,3,"55-74;605-634;435-468;277-314;505-545;835-877;703-750;140-193;959-1016","David","Perron","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8474102,2,"764-796;605-643;48-99;503-555;915-970;317-380;181-245","David","Perron","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8474102,1,"1140-1160;211-233;1072-1096;887-915;56-98;566-608;678-726;465-514;278-332","David","Perron","l","2016-10-13 00:00:00+00"
2016,20002,"stl",8474627,3,"55-74;1175-1200;605-634;435-468;926-959;277-314;505-545;835-877;973-1016;703-755;140-193","Jori","Lehtera","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8474627,2,"764-786;605-643;503-555;915-975;317-380;181-245;32-108","Jori","Lehtera","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8474627,1,"1079-1096;1140-1160;581-608;211-241;883-915;56-98;678-726;465-514;278-332","Jori","Lehtera","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8475765,3,"91-120;726-755;292-327;505-545;193-234;835-877;0-55;959-1016;1077-1134;1134-1134","Vladimir","Tarasenko","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8475765,2,"605-643;744-786;245-292;317-364;503-552;915-970;32-142;1074-1200;1168-1168","Vladimir","Tarasenko","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8475765,1,"1072-1096;887-915;56-98;566-608;278-321;678-726;465-514","Vladimir","Tarasenko","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476436,3,"1181-1200;356-382;545-582;750-792;1016-1077","Dmitrij","Jaskin","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476436,2,"142-154;837-875;426-469;643-710;970-1058","Dmitrij","Jaskin","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476436,1,"1096-1119;332-379;915-964;514-566;98-159;776-845","Dmitrij","Jaskin","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476855,3,"1181-1200;356-382;545-582;755-805","Nail","Yakupov","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476855,2,"142-154;583-605;837-883;417-469;970-1024;643-700","Nail","Yakupov","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8476855,1,"915-958;321-368;514-566;776-836;98-159","Nail","Yakupov","r","2016-10-13 00:00:00+00"
2016,20002,"stl",8477952,3,"55-91;314-356;792-835;120-193","Robby","Fabbri","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8477952,2,"1058-1074;875-915;99-142;380-426;555-605;710-764;154-245","Robby","Fabbri","c","2016-10-13 00:00:00+00"
2016,20002,"stl",8477952,1,"180-211;854-887;424-465;1029-1072;608-658;726-776;0-56","Robby","Fabbri","c","2016-10-13 00:00:00+00"
2016,20014,"nsh",8467370,3,"756-786;0-36;151-191;642-683;888-933;1048-1094;1114-1163;265-321;522-590","Mike","Fisher","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8467370,2,"1149-1172;723-773;91-151;916-996;297-463;996-996","Mike","Fisher","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8467370,1,"793-808;547-565;1109-1149;0-41;591-634;928-993;378-466;159-253","Mike","Fisher","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8467371,3,"36-51;786-817;590-636;321-374;933-1006","Mike","Ribeiro","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8467371,2,"996-1020;689-723;0-42;151-196;773-821;463-546","Mike","Ribeiro","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8467371,1,"466-493;299-334;1162-1200;1049-1109;90-151;634-701","Mike","Ribeiro","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8471707,3,"756-786;0-36;642-683;888-933;1048-1094;257-321;522-590","James","Neal","r","2016-10-15 00:00:00+00"
2016,20014,"nsh",8471707,2,"960-996;596-640;1105-1156;95-151;297-463","James","Neal","r","2016-10-15 00:00:00+00"
2016,20014,"nsh",8471707,1,"793-808;547-565;0-41;591-634;1109-1162;936-993;159-253;364-466","James","Neal","r","2016-10-15 00:00:00+00"
2016,20014,"chi",8473604,3,"756-785;817-847;432-466;0-36;887-932;276-322;636-683;112-167;521-588;1039-1200","Jonathan","Toews","c","2016-10-15 00:00:00+00"
2016,20014,"chi",8473604,2,"975-996;1172-1200;1038-1084;582-640;234-293;394-462;36-107","Jonathan","Toews","c","2016-10-15 00:00:00+00"
2016,20014,"chi",8473604,1,"387-409;444-466;565-591;1123-1149;877-906;1170-1200;0-37;701-749;993-1048;194-254","Jonathan","Toews","c","2016-10-15 00:00:00+00"
