"season","game_id","team","period","strength_sit","timeranges"
2016,20002,"stl",1,"ev5","0-211;278-1119"
2016,20002,"stl",1,"sh","211-278;1119-1200"
2016,20002,"stl",2,"ev5","39-181;292-1074"
2016,20002,"stl",2,"pp","181-292;1074-1200"
2016,20002,"stl",2,"sh","0-39"
2016,20002,"stl",3,"ev5","55-91;211-382;502-592;712-1054;1181-1200"
2016,20002,"stl",3,"pp","0-55;91-211"
2016,20002,"stl",3,"sh","382-502;592-712"
2016,20014,"nsh",1,"ev5","0-364;466-808;993-1109"
2016,20014,"nsh",1,"pp","378-466;928-993;1109-1200"
2016,20014,"nsh",1,"sh","808-906"
2016,20014,"nsh",2,"ev5","29-364;484-960;996-1200"
2016,20014,"nsh",2,"pp","0-29;364-484;960-996"
2016,20014,"nsh",3,"ev5","0-51;171-683;821-1094"
2016,20014,"nsh",3,"pp","803-821"
2016,20014,"nsh",3,"sh","51-171;683-701"
2016,20026,"nsh",1,"ev5","0-493;499-879;999-1200"
2016,20026,"nsh",1,"pp","879-999"
2016,20026,"nsh",1,"sh","493-499"
2016,20026,"nsh",2,"ev5","0-604;724-1115;1124-1200"
2016,20026,"nsh",2,"pp","1118-1124"
2016,20026,"nsh",2,"sh","604-724"
2016,20026,"nsh",3,"ev5","0-177;296-1109"
2016,20026,"nsh",3,"sh","177-296"
2016,20045,"phi",1,"ev5","0-397;517-1079;1092-1200"
2016,20045,"phi",1,"pp","397-517"
2016,20045,"phi",1,"sh","1079-1092"
2016,20045,"phi",2,"ev5","0-185;304-768;888-1051;1103-1200"
2016,20045,"phi",2,"pp","1051-1103"
2016,20045,"phi",2,"sh","187-304;768-888"
2016,20045,"phi",3,"ev5","0-165;229-650;800-1118;1155-1200"
2016,20045,"phi",3,"pp","183-229;680-800"
2016,20063,"cbj",1,"ev5","0-284;510-624;650-1200"
2016,20063,"cbj",1,"pp","626-650"
2016,20063,"cbj",1,"sh","284-510"
2016,20063,"cbj",2,"ev5","0-228;276-1200"
2016,20063,"cbj",2,"pp","228-276"
2016,20063,"cbj",3,"ev5","0-77;197-986"
2016,20063,"cbj",3,"sh","77-197;994-1043"
2016,20072,"tor",1,"ev5","0-942;1062-1200"
2016,20072,"tor",1,"sh","942-1062"
2016,20072,"tor",2,"ev5","0-280;400-429;568-825;1056-1200"
2016,20072,"tor",2,"pp","470-568"
2016,20072,"tor",2,"sh","280-400;825-1056"
2016,20072,"tor",3,"ev5","0-777;900-1050;1052-1071;1112-1200"
2016,20072,"tor",3,"pp","780-900"
2016,20072,"tor",4,"sh","32-152;260-300"
2016,20082,"cgy",1,"ev5","0-235;291-469;589-1200"
2016,20082,"cgy",1,"pp","252-291"
2016,20082,"cgy",1,"sh","469-589"
2016,20082,"cgy",2,"ev5","0-373;412-427;547-856;1096-1200"
2016,20082,"cgy",2,"pp","373-412;427-547;856-1096"
2016,20082,"cgy",3,"ev5","0-1200"
2016,20082,"cgy",4,"sh","46-166"
2016,20107,"njd",1,"ev5","0-118;285-628;750-812;932-964;1084-1200"
2016,20107,"njd",1,"pp","823-932;964-1084"
2016,20107,"njd",1,"sh","165-285;628-750"
2016,20107,"njd",2,"ev5","0-179;299-395;408-1200"
2016,20107,"njd",2,"pp","179-299"
2016,20107,"njd",2,"sh","395-408"
2016,20107,"njd",3,"ev5","0-707;827-858;1069-1200"
2016,20107,"njd",3,"pp","707-827"
2016,20107,"njd",3,"sh","858-1049"
2016,20128,"lak",1,"ev5","0-327;414-450;690-980;1100-1200"
2016,20128,"lak",1,"sh","327-414;450-690;980-1100"
2016,20128,"lak",2,"ev5","0-1097"
2016,20128,"lak",2,"pp","1097-1200"
2016,20128,"lak",3,"ev5","17-45;165-437;640-1066;1130-1200"
2016,20128,"lak",3,"pp","0-17;437-520"
2016,20128,"lak",3,"sh","45-165;557-640;1066-1115"
2016,20139,"cgy",1,"ev5","0-462;578-658;778-810;930-1200"
2016,20139,"cgy",1,"pp","462-578;810-930"
2016,20139,"cgy",1,"sh","658-778"
2016,20139,"cgy",3,"ev5","0-433;464-975;1096-1200"
2016,20139,"cgy",3,"sh","433-464"
2016,20153,"col",1,"ev5","0-456;576-625;745-1200"
2016,20153,"col",1,"pp","456-576;625-745"
2016,20153,"col",2,"ev5","0-136;256-624;744-1200"
2016,20153,"col",2,"sh","136-256;624-744"
2016,20153,"col",3,"ev5","0-630;750-1200"
2016,20153,"col",3,"pp","630-750"
2016,20171,"dal",1,"ev5","0-211;331-780;900-1109"
2016,20171,"dal",1,"sh","211-331;1109-1200"
2016,20171,"dal",2,"ev5","29-285;405-441;460-742;1072-1200"
2016,20171,"dal",2,"pp","285-405;742-832"
2016,20171,"dal",2,"sh","0-29;441-460;862-1072"
2016,20171,"dal",3,"ev5","0-956;1076-1091"
2016,20171,"dal",3,"sh","956-1076"
2016,20178,"dal",1,"ev5","0-355;475-602;722-875;934-1200"
2016,20178,"dal",1,"pp","877-934"
2016,20178,"dal",1,"sh","355-475;602-722"
2016,20178,"dal",2,"ev5","120-443;564-1200"
2016,20178,"dal",2,"pp","0-120"
2016,20178,"dal",2,"sh","444-564"
2016,20178,"dal",3,"ev5","0-156;302-1098;1120-1200"
2016,20178,"dal",3,"pp","276-302"
2016,20178,"dal",3,"sh","156-182"
2016,20178,"dal",4,"pp","50-170"
2016,20195,"stl",1,"ev5","0-250;394-490;610-1200"
2016,20195,"stl",1,"pp","490-610"
