"season","date","gameId","eventId","period","periodType","time","aScore","hScore","aSkaters","hSkaters","hZone","locX","locY","desc","type","subtype","team","teamIceSit","p1","p2","p3","p1Role","p2Role","p3Role","aS1","aS2","aS3","aS4","aS5","aS6","aG","hS1","hS2","hS3","hS4","hS5","hS6","hG"
20152016,20160531,30411,1,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Game Scheduled","game_scheduled",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160531,30411,0,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Ready","period_ready",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160531,30411,2,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Start","period_start",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160531,30411,3,1,"regular",0,0,0,5,5,"n",0,1,"Joe Pavelski faceoff won against Sidney Crosby","faceoff",NULL,"sjs","away",8470794,8471675,NULL,"winner","loser",NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8475208,8471724,8470543,8471887,8471675,NULL,8476899
20152016,20160531,30411,4,1,"regular",9,0,0,5,5,NULL,NULL,NULL,"Puck in Benches","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8475208,8471724,8470543,8471887,8471675,NULL,8476899
20152016,20160531,30411,5,1,"regular",9,0,0,5,5,"n",-19,23,"Logan Couture faceoff won against Sidney Crosby","faceoff",NULL,"sjs","away",8474053,8471675,NULL,"winner","loser",NULL,8474053,8474027,8475820,8466139,8471709,NULL,8474889,8475208,8471724,8470543,8471887,8471675,NULL,8476899
20152016,20160531,30411,6,1,"regular",24,0,0,5,5,"d",-97,21,"Logan Couture hit Sidney Crosby","hit",NULL,"sjs","away",8471675,8474053,NULL,"hittee","hitter",NULL,8474053,8474027,8475820,8466139,8471709,NULL,8474889,8475208,8471724,8470543,8471887,8471675,NULL,8476899
20152016,20160531,30411,7,1,"regular",43,0,0,5,5,"o",45,-8,"Ben Lovejoy - Wide of Net","missed_shot",NULL,"pit","home",8473933,NULL,NULL,"shooter",NULL,NULL,8474053,8474027,8475820,8466139,8471709,NULL,8474889,8474176,8476874,8473548,8473933,8471675,NULL,8476899
20152016,20160531,30411,8,1,"regular",55,0,0,5,5,"o",82,39,"Nick Bonino","giveaway",NULL,"pit","home",8474009,NULL,NULL,"giver",NULL,NULL,8470794,8476881,8466138,8471709,8468542,NULL,8474889,8474176,8476874,8473548,8473933,8474009,NULL,8476899
20152016,20160531,30411,9,1,"regular",64,0,0,5,5,"d",-60,13,"Joe Pavelski - Wide of Net","missed_shot",NULL,"sjs","away",8470794,NULL,NULL,"shooter",NULL,NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8474176,8476874,8473548,8473933,8474009,NULL,8476899
20152016,20160531,30411,10,1,"regular",69,0,0,5,5,NULL,NULL,NULL,"Puck in Netting","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8474176,8476874,8473548,8473933,8474009,NULL,8476899
20152016,20160531,30411,11,1,"regular",69,0,0,5,5,"d",-69,22,"Joe Pavelski faceoff won against Matt Cullen","faceoff",NULL,"sjs","away",8470794,8464989,NULL,"winner","loser",NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8475208,8471724,8470611,8475832,8464989,NULL,8476899
20152016,20160531,30411,12,1,"regular",92,0,0,5,5,"o",50,14,"Matt Cullen Wrist Shot saved by Martin Jones","shot","wrist shot","pit","home",8464989,8474889,NULL,"shooter","goalie",NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8475208,8471724,8470611,8475832,8464989,NULL,8476899
20152016,20160531,30411,13,1,"regular",93,0,0,5,5,NULL,NULL,NULL,"Puck Frozen","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8470794,8476881,8470613,8466138,8468542,NULL,8474889,8475208,8471724,8470611,8475832,8464989,NULL,8476899
20152016,20160531,30411,14,1,"regular",93,0,0,5,5,"o",69,22,"Joel Ward faceoff won against Evgeni Malkin","faceoff",NULL,"sjs","away",8468208,8471215,NULL,"winner","loser",NULL,8477922,8474027,8468208,8476919,8471709,NULL,8474889,8475810,8474602,8471215,8470543,8474013,NULL,8476899
