"datetime","game_id","team","score_sit","sf","sa","bsf","bsa","msf","msa"
"2016-10-12 23:00:00+00",20001,"tor",-1,1,0,1,0,0,0
"2016-10-12 23:00:00+00",20001,"tor",0,17,12,13,4,6,6
"2016-10-12 23:00:00+00",20001,"tor",1,13,10,9,1,8,3
"2016-10-12 23:00:00+00",20001,"ott",-1,10,13,1,9,3,8
"2016-10-12 23:00:00+00",20001,"ott",0,12,17,4,13,6,6
"2016-10-12 23:00:00+00",20001,"ott",1,0,1,0,1,0,0
"2016-10-13 00:00:00+00",20002,"stl",-1,10,3,3,6,4,3
"2016-10-13 00:00:00+00",20002,"stl",0,6,3,1,4,3,1
"2016-10-13 00:00:00+00",20002,"stl",1,3,5,2,2,1,0
"2016-10-13 00:00:00+00",20002,"stl",2,0,0,0,0,0,0
"2016-10-13 00:00:00+00",20002,"stl",3,0,0,1,0,0,0
"2016-10-13 00:00:00+00",20002,"chi",-3,0,0,0,1,0,0
"2016-10-13 00:00:00+00",20002,"chi",-2,0,0,0,0,0,0
"2016-10-13 00:00:00+00",20002,"chi",-1,5,3,2,2,0,1
"2016-10-13 00:00:00+00",20002,"chi",0,3,6,4,1,1,3
"2016-10-13 00:00:00+00",20002,"chi",1,3,10,6,3,3,4
"2016-10-13 02:00:00+00",20003,"cgy",-3,1,1,0,0,2,0
"2016-10-13 02:00:00+00",20003,"cgy",-2,18,13,3,1,6,4
"2016-10-13 02:00:00+00",20003,"cgy",-1,5,5,3,5,0,1
"2016-10-13 02:00:00+00",20003,"cgy",0,2,3,2,0,1,1
"2016-10-13 02:00:00+00",20003,"edm",0,3,2,0,2,1,1
"2016-10-13 02:00:00+00",20003,"edm",1,5,5,5,3,1,0
"2016-10-13 02:00:00+00",20003,"edm",2,13,18,1,3,4,6
"2016-10-13 02:00:00+00",20003,"edm",3,1,1,0,0,0,2
"2016-10-13 02:30:00+00",20004,"lak",-1,7,8,5,3,2,4
"2016-10-13 02:30:00+00",20004,"lak",0,8,12,9,12,10,9
"2016-10-13 02:30:00+00",20004,"lak",1,5,7,5,4,1,3
"2016-10-13 02:30:00+00",20004,"sjs",-1,7,5,4,5,3,1
"2016-10-13 02:30:00+00",20004,"sjs",0,12,8,12,9,9,10
"2016-10-13 02:30:00+00",20004,"sjs",1,8,7,3,5,4,2
"2016-10-13 23:00:00+00",20005,"mtl",0,6,1,1,0,1,0
"2016-10-13 23:00:00+00",20005,"mtl",1,9,10,1,3,4,3
"2016-10-13 23:00:00+00",20005,"mtl",2,6,9,4,2,3,1
"2016-10-13 23:00:00+00",20005,"mtl",3,0,3,0,2,1,2
"2016-10-13 23:00:00+00",20005,"buf",-3,3,0,2,0,2,1
"2016-10-13 23:00:00+00",20005,"buf",-2,9,6,2,4,1,3
"2016-10-13 23:00:00+00",20005,"buf",-1,10,9,3,1,3,4
"2016-10-13 23:00:00+00",20005,"buf",0,1,6,0,1,0,1
"2016-10-13 23:00:00+00",20006,"nyi",-3,1,0,0,0,0,0
"2016-10-13 23:00:00+00",20006,"nyi",-2,2,3,2,0,1,1
